video_id,video_title,publish_time,view_count,like_count,comment_count,likes_percentual,comments_percentual
kFZY6smw734,Make power bank using lighter,2019-05-03 11:00:28+00:00,78948.0,1591.0,49.0,2.0152505446623095,0.06206617013730557
UyOLYrLwtNI,Make SOLDERING IRON Using Pencil,2019-05-01 11:00:07+00:00,637549.0,6706.0,162.0,1.051840721262209,0.025409811638007433
xnLbO72iR0g,How to make powerful air cooler,2019-04-28 11:02:01+00:00,19127.0,942.0,27.0,4.924975165995713,0.14116170857949495
Vh8kGH-e3Ns,How to make table saw and sander machine 2 in 1 DIY,2019-04-24 11:20:52+00:00,21389920.0,145769.0,2454.0,0.6814845497318363,0.011472693680013763
DmVdoRLwo64,How To Make Rechargeable LED Emergency Light At Home For 1$,2019-04-21 10:57:34+00:00,475207.0,6818.0,194.0,1.4347431750794917,0.04082431445664731
jMb4D-HI93Y,how to make a electric lighter at home,2019-04-17 11:03:42+00:00,624531.0,6756.0,140.0,1.081771761529852,0.02241682158291582
iYKCqYJyrkQ,How To Make 12v Soldering Iron At Home.,2019-04-14 12:25:29+00:00,4001077.0,37214.0,583.0,0.9300995706905916,0.014571076737588404
SCvKoaTcjyQ,#drone how to make a drone at home,2019-04-10 11:25:32+00:00,1853965.0,22665.0,566.0,1.2225149881470254,0.03052916317190454
srRt1bu1Qfw,How To Make SOLDERING IRON MACHINE,2019-04-07 11:32:51+00:00,27228.0,1274.0,16.0,4.679006904656971,0.058763038049067136
60LxxRvrRf0,How to make a water pump with dc motor,2019-04-05 11:18:26+00:00,32205.0,1212.0,24.0,3.7633907778295295,0.07452258965999069
k81wyzjZVaI,How to make model airplane or drone [desk top],2019-04-02 11:03:11+00:00,13381.0,1014.0,18.0,7.577908975412899,0.1345190942380988
kiDgljCUZ0M,Make SOLDERING IRON Using 12v charger,2019-03-27 12:21:47+00:00,6109018.0,45014.0,852.0,0.7368451034192403,0.013946595017398868
o2zztexl0IM,How to make a power bank using old mobile phone charger homemade,2019-03-24 12:20:30+00:00,39360.0,1384.0,46.0,3.516260162601626,0.11686991869918699
T3yEyvzWa8U,How to make a mini speaker from a bottle cap,2019-03-22 12:15:15+00:00,2165642.0,36995.0,499.0,1.7082694184911449,0.023041666166430094
SmgpZxWgOOQ,How to make a multiple USB port plug,2019-03-20 11:56:17+00:00,49022.0,1507.0,27.0,3.074129982456856,0.05507731222716331
ytw1I8wf4Eg,"Automatic scissors how to make , electric scissors",2019-03-13 12:54:46+00:00,17818.0,1094.0,26.0,6.139858569985408,0.14591985632506455
Ne81GPUQ3mY,how to make a ring light for phone,2019-03-10 12:29:59+00:00,,,,,
bCv7T706hlU,How to make remote control fan (Desktop fan),2019-03-08 12:31:18+00:00,47489.0,1319.0,33.0,2.777485312388132,0.06948977657983954
4_fqng3nUGw,How to Make USB Rechargeable 9V Li-Ion Battery,2019-03-07 11:58:54+00:00,75893.0,1593.0,45.0,2.0990078136323507,0.05929400603481217
8YkAdLOEXHI,How to Make a Power Bank using old Mobile Phone Battery - Homemade,2019-03-06 11:29:31+00:00,21591.0,1139.0,22.0,5.275346209068593,0.10189430781344079
mzN9_pzNdyM,How to make a DIY Bluetooth speaker,2019-03-03 14:59:59+00:00,27375.0,1219.0,33.0,4.45296803652968,0.12054794520547946
amdnc--7tHg,Proper Joint Of Electric Wire,2019-02-26 16:39:05+00:00,12153.0,1079.0,4.0,8.878466222331934,0.032913683864066484
-dmG74jMh1Y,How to repair power bank not charging solved,2019-02-20 16:12:04+00:00,660519.0,4226.0,182.0,0.6397999149153923,0.027554090041315996
lKCUQpxJrnY,How to make emergency LED light at home,2019-02-02 17:54:12+00:00,14846.0,1147.0,11.0,7.725986797790651,0.07409403206250842
220mz8I2pa4,Homemade CNC homework writing Machine for students school project #shorts,2019-01-30 20:05:01+00:00,13318.0,1109.0,7.0,8.327076137558192,0.05256044451118787
k9tnj7DVVBw,How to make multiple USB port,2019-01-28 18:21:13+00:00,264340.0,4532.0,143.0,1.7144586517364,0.0540969962926534
1fk8sGKNbcY,Homemade taser,2018-10-03 14:35:37+00:00,36945.0,637.0,35.0,1.7241845987278386,0.09473541751251861
